PharmGKB Accession Id	Name	Alternate Names	Cross-references	External Vocabulary
PA443822	Cryptosporidiosis	Cryptosporidiasis, Cryptosporidioses		MONDO:MONDO:0015474(cryptosporidiosis)
PA443823	Cushing Syndrome	"""Cushing's Syndrome"", ""Cushings Syndrome"", ""Syndrome, Cushing"", ""Syndrome, Cushing's"""		MeSH:D003480(Cushing Syndrome), SnoMedCT:190505004(Cushing's syndrome NOS), UMLS:C0010481(C0010481), MedDRA:10011652(Cushing's syndrome), NDFRT:N0000000883(Cushing Syndrome [Disease/Finding]), MONDO:MONDO:0018912(Cushing syndrome)
PA444820	Cutaneous lupus erythematosus	"""Cutaneous Lupus Erythematosus"", ""Cutaneous lupus erythematosus"", ""Cutaneous lupus erythematosus, NOS"", ""Lupus Erythematosus, Cutaneous, Subacute"", ""Lupus Erythematosus, Subacute Cutaneous"""		"""MeSH:D008178(Lupus Erythematosus, Cutaneous)"", ""SnoMedCT:7119001(Cutaneous lupus erythematosus)"", ""UMLS:C0024137(C0024137)"", ""MedDRA:10056509(Cutaneous lupus erythematosus)"", ""NDFRT:N0000001885(Lupus Erythematosus, Cutaneous [Disease/Finding])"", ""MONDO:MONDO:0005282(cutaneous lupus erythematosus)"", ""MONDO:MONDO:0018887(obsolete rare cutaneous lupus erythematosus)"""
PA443824	Cutis Laxa	"""Dermatochalasia"", ""Dermatolyses"", ""Dermatolysis"", ""Dermatolysis, NOS"", ""Dermatomegaly"", ""Primary elastolysis"", ""Systematized elastorrhexis"", ""Systemic elastorrhexis"""		MeSH:D003483(Cutis Laxa), SnoMedCT:58588007(Cutis laxa), UMLS:C0010495(C0010495), MedDRA:10011692(Cutis laxa), NDFRT:N0000000884(Cutis Laxa [Disease/Finding]), MONDO:MONDO:0016175(cutis laxa), HP:HP:0000973(Cutis laxa)
PA443825	Cyanosis	Cyanoses, [D]Cyanosis		MeSH:D003490(Cyanosis), SnoMedCT:119419001(Cyanosis of skin), SnoMedCT:206899000([D]Cyanosis), SnoMedCT:3415004(Cyanosis), UMLS:C0010520(C0010520), MedDRA:10011702(Cyanosed), NDFRT:N0000000885(Cyanosis [Disease/Finding]), HP:HP:0000961(Cyanosis)
PA166321661	Cyclic vomiting syndrome			MedDRA:10062937(Cyclic vomiting syndrome), MONDO:MONDO:0010778(cyclic vomiting syndrome)
PA446656	Cystadenocarcinoma, Papillary	"""Cystadenocarcinomas, Papillary"", ""Papillary Cystadenocarcinoma"", ""Papillary Cystadenocarcinomas"", ""Papillary cystadenocarcinoma"", ""Papillary cystadenocarcinoma, NOS"", ""Papillocystic adenocarcinoma"""		"""MeSH:D018283(Cystadenocarcinoma, Papillary)"", ""SnoMedCT:2735009(Papillary cystadenocarcinoma)"", ""UMLS:C0206700(C0206700)"", ""NDFRT:N0000003747(Cystadenocarcinoma, Papillary [Disease/Finding])"", ""MONDO:MONDO:0005074(papillary cystadenocarcinoma)"""
PA166048831	Cysticercosis			NDFRT:N0000000891(Cysticercosis), MONDO:MONDO:0015484(cysticercosis)
PA443829	Cystic Fibrosis	"""CF"", ""CF - Cystic fibrosis"", ""Cystic Fibrosis, Pancreatic"", ""Cystic fibrosis"", ""Cystic fibrosis NOS"", ""Fibrocystic Disease of Pancreas"", ""Fibrocystic disease"", ""Fibrosis, Cystic"", ""Fibrosis, Pancreatic Cystic"", ""Mucoviscidoses"", ""Mucoviscidosis"", ""Pancreas Fibrocystic Disease"", ""Pancreas Fibrocystic Diseases"", ""Pancreatic Cystic Fibroses"", ""Pancreatic Cystic Fibrosis"""		MeSH:D003550(Cystic Fibrosis), SnoMedCT:190905008(Cystic fibrosis), SnoMedCT:190911006(Cystic fibrosis NOS), UMLS:C0010674(C0010674), MedDRA:10011762(Cystic fibrosis), NDFRT:N0000000890(Cystic Fibrosis [Disease/Finding]), MONDO:MONDO:0009061(cystic fibrosis)
PA166175756	Cystic fibrosis pulmonary exacerbation			MedDRA:10068288(Cystic fibrosis pulmonary exacerbation)
